# Top level file listing the corpus collections
#Collection File, HTML Gloss File, Title, Description, Introduction File, Corpus, Language, Format, Period
shijing.csv	shijing.html	The Book of Songs 《詩經》	An early collection of Chinese poems, with English translation by James Legge	shijing/shijing000.txt	Literary Chinese	Bilingual	c. 1000 to 600 BCE	Verse
shangshu.csv	shangshu.html	Book of Documents 《尚書》	An early collection of proclamations and instructions attributed to the founders of the Zhou dynasty, with English translation by James Legge	shangshu/shangshu000.txt	Literary Chinese	Bilingual	Pre-Han	Non-fiction
zuozhuan.csv	zuozhuan.html	The Commentary of Zuo on the Spring and Autumn Annals 《春秋左氏傳》	A commentary on a chronicle of the State of Lu from 722 to 481 BCE by 左丘明 Zuo Qiuming	zuozhuan/zuozhuan000.txt	Literary Chinese	Prose	Pre-Han	Non-fiction
gongyang.csv	gongyang.html	Gongyang's Commentary on the Spring and Autumn Annals 《春秋公羊傳》	A commentary on a chronicle of the State of Lu by 公羊高 Gong Yanggao	gongyang/gongyang000.txt	Literary Chinese	Prose	Pre-Han	Non-fiction
guliang.csv	guliang.html	Gongyang's Commentary on the Spring and Autumn Annals 《春秋公羊傳》	A commentary on a chronicle of the State of Lu by 穀梁 Guliang	guliang/guliang000.txt	Literary Chinese	Prose	Pre-Han	Non-fiction
lunyu.csv	lunyu.html	The Analects of Confucius 《論語》	Also known as Lunyu, with English translation by James Legge	lunyu/lunyu000.txt	Literary Chinese	Prose	c. 479—221 BCE	Confucian
liji.csv	liji.html	The Book of Rites 《禮記》	Also known as the Liji, a Warring States Confucian Text with English translation by James Legge	liji/liji000.txt	Literary Chinese	Prose	475 - 221 BCE	Confucian
yili.csv	yili.html	The Book of Etiquette and Ceremonial 《儀禮》	Also known as the Yili, a classic Confucian text describing details of ceremonies	yili/yili000.txt	Literary Chinese	Prose	Pre-Han	Confucian
zhouli.csv	zhouli.html	Rites of Zhou 《周禮》	Also known as the Zhouli, a classic Confucian text describing the court structure and official positions	zhouli/zhouli000.txt	Literary Chinese	Prose	Pre-Han	Confucian
yijing.csv	yijing.html	Book of Changes 《易經》	Also known as the I Ching or 周易 Zhouyi, an early classic Chinese text on divination with English translation by James Legge	yijing/yijing000.txt	Literary Chinese	Prose	Pre-Han	Confucian
mengzi.csv	mengzi.html	Mencius 《孟子》	Also known as Mengzi, with English translation by James Legge	mengzi/mengzi000.txt	Literary Chinese	Prose	c. 372-289 BCE	Confucian
xiaojing.csv	xiaojing.html	The Classic of Filial Piety 《孝經》	Also known as the Xiao Jing, with English translation by James Legge	xiaojing/xiaojing000.txt	Literary Chinese	Prose	c. 4th century BCE	Confucian
mozi.csv	mozi.html	Mozi 《墨子》	An early master with text of the same name	mozi/mozi000.txt	Literary Chinese	Prose	c. 4th century BCE	Masters Literature
guanzi.csv	guanzi.html	Guanzi 《管子》	Traditionally attributed to statesman 管仲 Zhan Zhong	guanzi/guanzi000.txt	Literary Chinese	Prose	Pre-Qin	Masters Literature
huainanzi.csv	huainanzi.html	Huainanzi 《淮南子》	An early collection of debates in the court of 劉安 Liu An	huainanzi/huainanzi000.txt	Literary Chinese	Prose	Before 139 BCE	Masters Literature
hanfeizi.csv	hanfeizi.html	Han Feizi 《韓非子》	An early master with text of the same name	hanfeizi/hanfeizi000.txt	Literary Chinese	Prose	c. 280-233 BCE	Masters Literature
xunzi.csv	xunzi.html	Xunzi 《荀子》	An early master with text of the same name	xunzi/xunzi000.txt	Literary Chinese	Prose	- c. 237 BCE	Masters Literature
shuoyuan.csv	shuoyuan.html	Garden of Stories 《說苑》	An early collection of stories compiled by 刘向 Liu Xiang	shuoyuan/shuoyuan000.txt	Literary Chinese	Prose	Pre-Han	historic
taixuanjing.csv	taixuanjing.html	Canon of Supreme Mystery 《太玄經》	A text on divination by Han scholar 扬雄 Yang Xiong	taixuanjing/taixuanjing000.txt	Literary Chinese	Prose	Han	Literature
fayan.csv	fayan.html	Exemplary Figures 《法言》	Composed by Han scholar 扬雄 Yang Xiong	fayan/fayan000.txt	Literary Chinese	Prose	Han	Literature
shiji.csv	shiji.html	Records of the Grand Historian 《史記》	By 司馬遷 Sima Qian, the first of the standard Chinese histories	shiji/shiji000.txt	Literary Chinese	Prose	109-91 BCE	historic
hanshu.csv	hanshu.html	Book of Han 《漢書》	The second of the standard Chinese histories by 班固 Ban Gu with others, covering the 西漢 Western [Former] Han dynasty 206 BCE - 25 CE	hanshu/hanshu000.txt	Literary Chinese	Prose	111 CE	historic
houhanshu.csv	houhanshu.html	Book of Later Han 《後漢書》	The third of the standard Chinese histories, compiled by 範曄 Fan Ye, covering the 東漢 Eastern [Later] Han dynasty 25-220 CE	houhanshu/houhanshu000.txt	Literary Chinese	Prose	5th century	historic
